服务器,服务器地理位置,服务器端口,客户端,客户端地理位置,TCP/UDP,应用,协议,总字节数,每秒字节数,客户端字节数,服务器字节数,总数据包,每秒数据包数,比特率,客户端比特率,服务器比特率,客户端数据包数,服务器数据包数,会话开始时间,会话持续时间,TCP同步包,TCP同步确认包,客户端TCP重置包,服务器TCP重置包,三次握手次数,三次握手平均时间,客户端平均ACK时延,服务器平均ACK时延,三次握手平均客户端RTT,三次握手平均服务器RTT,客户端三次握手总时延,服务器三次握手总时延,TCP交易请求次数,TCP交易响应次数,服务器总响应时间,客户端请求平均传输时间,服务器响应平均传输时间,会话总数,活动会话数,客户端字节数（有效载荷）,客户端数据包数（有效载荷）,服务器字节数（有效载荷）,服务器数据包数（有效载荷）,客户端TCP重传包,服务器TCP重传包,客户端TCP结束包,服务器TCP结束包,TCP三次握手客户端确认包,TCP乱序包数,客户端TCP乱序包数,服务器TCP乱序包数,创建会话数,关闭会话数,每秒创建会话数,每秒关闭会话数,TCP重传包,每秒活动会话数,连接建立无响应次数,连接无响应率,TCP重置包
,英国,5541,,局域网,TCP,未知TCP应用,TCP,20855774695,241386.2811,163159215,20692615480,16658897,192.8113,1931090.25,15107.3347,1915982.915,2285812,14373085,2023/9/26 16:13,2.7977E+13,10,10,0,8,10,48.562033,4.213499,53.303005,4.528232,44.033801,45.282324,440.338006,2818,2816,58880.27786,40.489197,19805.63908,12,2,865776,2820,19681569378,14368278,16,18350,10,0,10,3,0,3,10,10,0.0001,0.0001,18366,0,0,0,8
,局域网,37771,,英国,TCP,未知TCP应用,TCP,9507946436,110045.6763,174772193,9333174243,9346162,108.1731,880365.4107,16182.6104,864182.8002,2723836,6622326,2023/9/26 16:14,2.7944E+13,63,63,150,1,63,5.907328,2.535325,7.731264,2.025609,3.881719,127.61335,244.5483,6715,6715,57146.47259,280.624188,3616.561167,65,1,487205,7818,8948795740,6620063,2,550,0,8,63,0,0,0,63,64,0.0007,0.0007,552,0,0,0,151
,英国,5542,,局域网,TCP,未知TCP应用,TCP,7497481481,86776.406,144375213,7353106268,7086695,82.0219,694211.2482,13368.0752,680843.1729,1979735,5106960,2023/9/26 16:15,2.7894E+13,5,5,0,0,5,99.796877,8.303897,71.182186,3.266331,96.530546,16.331655,482.652732,12,10,742.59235,39.545965,3999814.889,7,2,1439,12,6993262648,5105198,0,83876,5,5,5,4,0,4,5,5,0,0,83876,0,0,0,0
,局域网,37773,,英国,TCP,未知TCP应用,TCP,3915899532,45322.9112,84571522,3831328010,4380063,50.6951,362583.29,7830.6964,354752.5935,1318647,3061416,2023/9/26 16:13,2.7967E+13,12,12,22,0,12,6.289716,2.608364,6.03347,2.190342,4.099375,26.284098,49.192499,4500,4500,32714.05349,2.149767,2943.759592,18,1,202712,4503,3653706967,3061291,1,81,0,9,12,0,0,0,12,17,0.0001,0.0001,82,0,0,0,22
,局域网,37772,,英国,TCP,未知TCP应用,TCP,386024922,4467.881,7014028,379010894,366015,4.2362,35743.0483,649.447,35093.6012,106780,259235,2023/9/26 16:14,2.7951E+13,19,19,61,0,19,7.956863,2.760277,11.837386,3.005662,4.951201,57.107586,94.07281,3431,3431,24803.93678,7.643124,136.725795,21,1,200400,3436,363970201,259127,0,35,0,9,19,0,0,0,19,20,0.0002,0.0002,35,0,0,0,61
,局域网,37771,,美国,TCP,未知TCP应用,TCP,133781663,1548.3988,4696368,129085295,152743,1.7678,12387.191,434.8488,11952.3421,51084,101659,2023/9/26 16:14,2.7959E+13,464,464,1212,213,464,19.297237,16.115616,14.350783,15.173519,4.123718,7040.512746,1913.405103,8869,8867,248662.4121,9.030638,48.136169,465,1,1121264,10578,121951681,96659,0,11,0,6,464,0,0,0,464,464,0.0053,0.0053,11,0,0,0,1425
,英国,19090,,局域网,TCP,WEB,HTTP,128553640,1487.8893,63486192,65067448,104208,1.2061,11903.1148,5878.3511,6024.7637,47963,56245,2023/9/26 16:28,5.14E+11,3,3,0,0,3,0.507719,0.345544,1.091838,0.074956,0.432763,0.224867,1.298289,193,193,10084.11981,38.39776,46.556123,3,0,60041030,41611,61128190,42493,60,50,3,3,3,0,0,0,3,3,0,0,110,0,0,0,0
,局域网,19090,,局域网,TCP,WEB,HTTP,128542924,1487.7653,63400764,65142160,104202,1.206,11902.1225,5870.4411,6031.6814,47901,56301,2023/9/26 16:28,5.14E+11,3,3,0,0,3,0.393823,13.09349,0.119487,0.304268,0.089555,0.912804,0.268666,193,193,9202.480425,41.312031,43.602943,3,0,60041030,41611,61128190,42493,60,50,3,3,3,0,0,0,3,3,0,0,110,0,0,0,0
,局域网,10012,,英国,TCP,未知TCP应用,TCP,20923226,242.1669,12374449,8548777,164997,1.9096,1937.3357,1145.7823,791.5534,109929,55068,2023/9/26 16:14,2.796E+13,5,5,0,10,5,8.545076,16.293284,0.075853,8.465747,0.079329,42.328736,0.396644,54981,54976,18110.4758,1.932764,2.10245,13,2,4679379,54988,4694037,55019,0,0,5,5,5,0,0,0,5,5,0,0,0,0,0,0,10
,局域网,15020,,局域网,TCP,未知TCP应用,TCP,8836024,102.2687,6302521,2533503,8113,0.0939,818.1503,583.5667,234.5836,4813,3300,2023/9/26 16:28,1.38E+11,15,15,27,0,15,0.780625,1.527992,0.133173,0.703181,0.077443,10.54772,1.161652,38,34,14.786705,16.562929,6.23922,15,0,5965629,4163,2302383,1617,0,0,11,15,15,0,0,0,15,15,0.0001,0.0001,0,0,0,0,27
